Solution Area,Primary Technology
"SAP S/4HANA & Core","S/4HANA Finance"
"SAP S/4HANA & Core","S/4HANA Sales"
"SAP S/4HANA & Core","S/4HANA Procurement"
"SAP S/4HANA & Core","S/4HANA Manufacturing"
"SAP S/4HANA & Core","Inventory Management"
"SAP S/4HANA & Core","EWM (Extended Warehouse Management)"
"SAP S/4HANA & Core","TM (Transportation Management)"
"SAP S/4HANA & Core","Central Finance"
"SAP S/4HANA & Core","Group Reporting"
"SAP S/4HANA & Core","BRIM"
"SAP S/4HANA & Core","TRM (Treasury)"
"SAP S/4HANA & Core","Asset Management"
"SAP Cloud LoB Solutions","SuccessFactors (HR)"
"SAP Cloud LoB Solutions","SAP Ariba (Procurement)"
"SAP Cloud LoB Solutions","SAP IBP (Supply Chain)"
"SAP Cloud LoB Solutions","SAP Fieldglass"
"SAP Cloud LoB Solutions","SAP Concur"
"SAP Cloud LoB Solutions","SAP Commerce Cloud"
"SAP Cloud LoB Solutions","SAP Sales Cloud"
"SAP Cloud LoB Solutions","SAP Service Cloud"
"SAP Cloud LoB Solutions","SAP Marketing Cloud"
"SAP Cloud LoB Solutions","SAP CDP"
"SAP Business Technology Platform","SAP Integration Suite (CPI)"
"SAP Business Technology Platform","SAP Extension Suite"
"SAP Business Technology Platform","SAP Analytics Cloud"
"SAP Business Technology Platform","SAP HANA Cloud"
"SAP Business Technology Platform","SAP Build Apps"
"SAP Business Technology Platform","SAP Build Process Automation"
"SAP Business Technology Platform","ABAP Cloud"
"SAP Business Technology Platform","Fiori / UI5"
"Cloud Platforms (Hyperscalers)","AWS (EC2, S3, Lambda)"
"Cloud Platforms (Hyperscalers)","Azure (VMs, Blob, Functions)"
"Cloud Platforms (Hyperscalers)","Google Cloud (GCE, Cloud Run, GCS)"
"Cloud Platforms (Hyperscalers)","PostgreSQL / MySQL"
"Cloud Platforms (Hyperscalers)","MongoDB / DynamoDB"
"Cloud Platforms (Hyperscalers)","Redis"
"Cloud Platforms (Hyperscalers)","Cloud Security"
"Cloud Platforms (Hyperscalers)","Identity & Access (IAM)"
"Modern Web & Mobile","Next.js"
"Modern Web & Mobile","React"
"Modern Web & Mobile","Angular"
"Modern Web & Mobile","Vue.js"
"Modern Web & Mobile","Svelte"
"Modern Web & Mobile","Flutter"
"Modern Web & Mobile","React Native"
"Modern Web & Mobile","iOS (Swift)"
"Modern Web & Mobile","Android (Kotlin / Java)"
"Modern Web & Mobile","PWA"
"Modern Web & Mobile","Tailwind CSS"
"Modern Web & Mobile","Bootstrap"
"Backend & API Services","Node.js (NestJS / Express)"
"Backend & API Services","Python (FastAPI / Django)"
"Backend & API Services","Java (Spring Boot)"
"Backend & API Services",".NET Core / C#"
"Backend & API Services","Go (Golang)"
"Backend & API Services","Rust"
"Backend & API Services","GraphQL API"
"Backend & API Services","RESTful API"
"Backend & API Services","gRPC"
"Backend & API Services","WebSockets"
"AI, Machine Learning & GenAI","Azure OpenAI (GPT-4 / 3.5)"
"AI, Machine Learning & GenAI","Google Vertex AI (Gemini / Palm)"
"AI, Machine Learning & GenAI","AWS Bedrock (Claude / Llama)"
"AI, Machine Learning & GenAI","Hugging Face Models"
"AI, Machine Learning & GenAI","LangChain / LlamaIndex"
"AI, Machine Learning & GenAI","Vector DB (Pinecone / Weaviate)"
"AI, Machine Learning & GenAI","Custom LLM Training"
"AI, Machine Learning & GenAI","Computer Vision"
"AI, Machine Learning & GenAI","NLP / Speech-to-Text"
"Data & Advanced Analytics","Snowflake"
"Data & Advanced Analytics","Databricks"
"Data & Advanced Analytics","SAP Datasphere"
"Data & Advanced Analytics","BigQuery"
"Data & Advanced Analytics","AWS Redshift"
"Data & Advanced Analytics","Power BI"
"Data & Advanced Analytics","Tableau Dashboard"
"Data & Advanced Analytics","Alteryx"
"Data & Advanced Analytics","Informatica"
"Data & Advanced Analytics","Kafka Stream Processing"
"Integration & Middleware","MuleSoft Anypoint"
"Integration & Middleware","Dell Boomi"
"Integration & Middleware","Kong API Gateway"
"Integration & Middleware","Apigee"
"Integration & Middleware","Azure Logic Apps"
"Integration & Middleware","AWS Step Functions"
"Integration & Middleware","RabbitMQ / ActiveMQ"
"Integration & Middleware","Apache Camel"
"Integration & Middleware","TIBCO"
"Automation & RPA","Automation Anywhere"
"Automation & RPA","UiPath"
"Automation & RPA","Blue Prism"
"Automation & RPA","Power Automate (Desktop / Cloud)"
"Automation & RPA","Python RPA Scripts"
"Automation & RPA","Workato"
"Automation & RPA","Zapier"
"Cyber Security & Identity","Microsoft Entra ID (Azure AD)"
"Cyber Security & Identity","Okta / Auth0"
"Cyber Security & Identity","Palo Alto Networks"
"Cyber Security & Identity","CrowdStrike"
"Cyber Security & Identity","Splunk"
"Cyber Security & Identity","Microsoft Sentinel"
"Cyber Security & Identity","HashiCorp Vault"
"Cyber Security & Identity","CyberArk"
"Cyber Security & Identity","Cloudflare"
"DevOps & Infrastructure","Kubernetes (EKS / AKS / GKE)"
"DevOps & Infrastructure","Docker"
"DevOps & Infrastructure","Terraform"
"DevOps & Infrastructure","Ansile"
"DevOps & Infrastructure","GitHub Actions"
"DevOps & Infrastructure","GitLab CI"
"DevOps & Infrastructure","Jenkins"
"DevOps & Infrastructure","Prometheus / Grafana"
"DevOps & Infrastructure","New Relic"
"DevOps & Infrastructure","Infrastructure as Code"
"Non-SAP Enterprise Systems","Salesforce (CRM)"
"Non-SAP Enterprise Systems","ServiceNow (ITSM)"
"Non-SAP Enterprise Systems","Oracle Fusion Cloud"
"Non-SAP Enterprise Systems","Microsoft Dynamics 365"
"Non-SAP Enterprise Systems","Workday"
"Non-SAP Enterprise Systems","NetSuite"
"Non-SAP Enterprise Systems","Adobe Experience Manager"
"Non-SAP Enterprise Systems","Zendesk"
"Non-SAP Enterprise Systems","HubSpot"
